"device_id","payment_id","user_id","site_id","relation_status","physical_id","serial"
41230304,69810860136,75554443,MLB,2,MP300-23021062023101725355,"23021062023101725355"
41230305,69810860136,75554443,MLB,2,MP300-23021062023101725858,"23021062023101725858"
41230306,69810860136,75554443,MLB,2,MP300-23021062023101726506,"23021062023101726506"
41230307,69810860136,75554443,MLB,2,MP300-23021062023101726578,"23021062023101726578"
41230308,69810860136,75554443,MLB,2,MP300-23021062023101725392,"23021062023101725392"
41230309,69810860136,75554443,MLB,2,MP300-23021062023101726611,"23021062023101726611"
41230310,69810860136,75554443,MLB,2,MP300-23021062023101725312,"23021062023101725312"
41230311,69810860136,75554443,MLB,2,MP300-23021062023101725183,"23021062023101725183"
41230312,69810860136,75554443,MLB,2,MP300-23021062023101726549,"23021062023101726549"
41230313,69810860136,75554443,MLB,2,MP300-23021062023101725886,"23021062023101725886"
41230314,69810860136,75554443,MLB,2,MP300-23021062023101725894,"23021062023101725894"
41230315,69810860136,75554443,MLB,2,MP300-23021062023101726610,"23021062023101726610"
41230316,69810860136,75554443,MLB,2,MP300-23021062023101726546,"23021062023101726546"
41230317,69810860136,75554443,MLB,2,MP300-23021062023101726607,"23021062023101726607"
41230318,69810860136,75554443,MLB,2,MP300-23021062023101725855,"23021062023101725855"
41230319,69810860136,75554443,MLB,2,MP300-23021062023101725376,"23021062023101725376"
41230320,69810860136,75554443,MLB,2,MP300-23021062023101726606,"23021062023101726606"
41230321,69810860136,75554443,MLB,2,MP300-23021062023101725963,"23021062023101725963"
41230322,69810860136,75554443,MLB,2,MP300-23021062023101725888,"23021062023101725888"
41230323,69810860136,75554443,MLB,2,MP300-23021062023101725185,"23021062023101725185"
41230324,69810860136,75554443,MLB,2,MP300-23021062023101725923,"23021062023101725923"
41230325,69810860136,75554443,MLB,2,MP300-23021062023101726747,"23021062023101726747"
41230326,69810860136,75554443,MLB,2,MP300-23021062023101725801,"23021062023101725801"
41230327,69810860136,75554443,MLB,2,MP300-23021062023101725162,"23021062023101725162"
41230328,69810860136,75554443,MLB,2,MP300-23021062023101725895,"23021062023101725895"
41230332,69811180708,75554443,MLB,2,MP300-23021062023101725242,"23021062023101725242"
